,index,tournament_type,name,location,date,url,matches_downloaded
535,15,WSA Tour 5,Hitachi Queensland Open (W),"Deagon, Australia",28 Oct 2012,http://www.squashinfo.com/events/5138-womens-queensland-open-2012,True
536,16,WSA Tour 5,IJM Land Penang Open (W),"Penang, Malaysia",27 Oct 2012,http://www.squashinfo.com/events/5136-womens-penang-open-2012,True
537,17,WSA Tour 4,Ipswich (Queensland) Open (W),"Ipswich, Queensland, Australia",21 Oct 2012,http://www.squashinfo.com/events/5133-womens-ipswich-queensland-open-2012,True
538,18,WSA Silver 20,Macau Open (W),"Taipa, Macau",21 Oct 2012,http://www.squashinfo.com/events/5132-womens-macau-open-2012,True
539,19,WSA Gold 60,Delaware Investments US Open (W),"Philadelphia, USA",12 Oct 2012,http://www.squashinfo.com/events/5115-womens-us-open-2012,True
540,0,WSA Gold 50,Carol Weymuller Open (W),"New York, USA",30 Sep 2012,http://www.squashinfo.com/events/5110-womens-carol-weymuller-open-2012,True
541,1,WSA Tour 8,Southwest Open (W),"Tempe, Arizona, USA",22 Sep 2012,http://www.squashinfo.com/events/5108-womens-southwest-open-2012,True
542,2,WSA Silver 20,Atlantis Open (W),"Alexandria, Egypt",20 Sep 2012,http://www.squashinfo.com/events/5104-womens-atlantis-open-2012,True
543,3,WSA Tour 8,Orange County Open (W),"Irvine, California, USA",16 Sep 2012,http://www.squashinfo.com/events/5103-womens-orange-county-open-2012,True
544,4,WSA Gold 60,CIMB Malaysian Open (W),"Selangor, Malaysia",15 Sep 2012,http://www.squashinfo.com/events/5098-womens-malaysian-open-2012,True
545,5,WSA Tour 4,North Coast Open (W),"Coffs Harbour, NSW, Australia",9 Sep 2012,http://www.squashinfo.com/events/5099-womens-north-coast-open-2012,True
546,6,WSA Tour 12,ProSquash Mexican Open (W),"Mexico City, Mexico",3 Sep 2012,http://www.squashinfo.com/events/5079-womens-mexican-open-2012,True
547,7,WSA Tour 12,Crocodile Challenge Cup (W),Hong Kong,2 Sep 2012,http://www.squashinfo.com/events/5078-womens-crocodile-challenge-cup-2012,True
548,8,WSA Silver 30,Matamata Open (W),"Matamata, New Zealand",26 Aug 2012,http://www.squashinfo.com/events/5077-womens-matamata-open-2012,True
549,9,WSA Gold 45,Hi-Tec Australian Open (W),"Canberra, Australia",19 Aug 2012,http://www.squashinfo.com/events/5069-womens-australian-open-2012,True
550,10,WSA Tour 12,Squash On Fire (W),"Washington, DC, USA",19 Aug 2012,http://www.squashinfo.com/events/5076-womens-squash-on-fire-2012,True
551,11,WSA Tour 8,Hampton Squash Week (W),"Southampton, NY, USA",12 Aug 2012,http://www.squashinfo.com/events/5068-womens-hampton-squash-week-2012,True
552,12,WSA Tour 8,Black Knight Open (W),"Melbourne, Australia",5 Aug 2012,http://www.squashinfo.com/events/5062-womens-black-knight-open-2012,True
553,13,WSA Tour 4,New South Wales Open (W),"Sydney, Australia",29 Jul 2012,http://www.squashinfo.com/events/5031-womens-new-south-wales-open-2012,True
554,14,WSA Tour 4,Tasmanian Open (W),"Bellerive, Tasmania, Australia",15 Jul 2012,http://www.squashinfo.com/events/5028-womens-tasmanian-open-2012,True
555,15,WSA Tour 8,Victorian Open (W),"Melbourne, Australia",8 Jul 2012,http://www.squashinfo.com/events/5027-womens-victorian-open-2012,True
556,16,WSA Silver 30,Des Pyramides Open (W),"Le Port Marly, Paris, France",1 Jul 2012,http://www.squashinfo.com/events/5026-womens-des-pyramides-open-2012,True
557,17,WSA Tour 4,WSA Ile-Rousse International (W),"Ile-Rousse, Corsica, France",22 Jun 2012,http://www.squashinfo.com/events/5016-womens-ile-rousse-international-2012,True
558,18,WSA Tour 4,South Australian Open (W),"Plympton Park, Adelaide, Australia",17 Jun 2012,http://www.squashinfo.com/events/5015-womens-south-australian-open-2012,True
559,19,WSA Tour 4,Toyota Barossa Valley Open (W),"Tanunda, SA, Australia",10 Jun 2012,http://www.squashinfo.com/events/5060-womens-barossa-valley-open-2012,True
560,0,WSA Tour 8,Mexico Open (W),"Mexico City, Mexico",29 May 2012,http://www.squashinfo.com/events/4951-womens-mexico-open-2012,True
561,1,WSA Tour 4,City of Perth International Challenge (W),"Perth, Australia",27 May 2012,http://www.squashinfo.com/events/5087-womens-city-of-perth-international-challenge-2012,True
562,2,WSA Tour 8,Chennai Open (W),"Chennai, India",26 May 2012,http://www.squashinfo.com/events/4991-womens-chennai-open-2012,True
