,index,tournament_type,name,location,date,url,matches_downloaded
1754,14,PSA 2.5 Star,CNS International (M),"Karachi, Pakistan",29 Sep 2006,http://www.squashinfo.com/events/2573-mens-cns-international-2006,True
1755,15,PSA 5 Star,MPM St Louis Open (M),"St Louis, USA",26 Sep 2006,http://www.squashinfo.com/events/2659-mens-st-louis-open-2006,True
1756,16,PSA 2 Star,IX Abierto Colombian Open (M),"Bogota, Colombia",24 Sep 2006,http://www.squashinfo.com/events/2572-mens-colombian-open-2006,True
1757,17,PSA Super Satellite,Ciutat de Barcelona Open (M),"Barcelona, Spain",23 Sep 2006,http://www.squashinfo.com/events/2655-mens-ciutat-de-barcelona-open-2006,True
1758,18,PSA 5 Star,Dunlop British Open (M),"Nottingham, England",18 Sep 2006,http://www.squashinfo.com/events/2394-mens-british-open-2006,True
1759,19,PSA Satellite,Impuls Open (M),"Weert, Netherlands",17 Sep 2006,http://www.squashinfo.com/events/2658-mens-impuls-open-2006,True
1760,0,PSA World Open,Al-Ahram World Open (M),"Giza, Egypt",6 Sep 2006,http://www.squashinfo.com/events/2545-mens-world-open-2006,True
1761,1,PSA 1 Star,Patio Savissi Fashion Tour Open (M),"Belo Horizonte, Brazil",3 Sep 2006,http://www.squashinfo.com/events/2657-mens-fashion-tour-open-2006,True
1762,2,PSA Super Satellite,Central Open (M),"New Plymouth, New Zealand",27 Aug 2006,http://www.squashinfo.com/events/2392-mens-central-open-2006,True
1763,3,PSA 1 Star,Five Star Finance Auckland Open (M),"Takapuna, New Zealand",20 Aug 2006,http://www.squashinfo.com/events/2391-mens-auckland-open-2006,True
1764,4,PSA Super Satellite,Altipower Tilburg Open (M),"Tilburg, Netherlands",20 Aug 2006,http://www.squashinfo.com/events/2647-mens-tilburg-open-2006,True
1765,5,PSA 5 Star,Mamut English Open (M),"Sheffield, England",19 Aug 2006,http://www.squashinfo.com/events/2390-mens-english-open-2006,True
1766,6,PSA Super Satellite,Asset Finance & Easy Loans Bay of Plenty Open (M),"Whakatane, New Zealand",13 Aug 2006,http://www.squashinfo.com/events/2389-mens-bay-of-plenty-open-2006,True
1767,7,PSA 1 Star,Otters International (M),"Mumbai, India",13 Aug 2006,http://www.squashinfo.com/events/1703-mens-otters-open-2006,True
1768,8,PSA 4 Star,Rotary Heliopolis Open (M),"Cairo, Egypt",11 Aug 2006,http://www.squashinfo.com/events/2507-mens-heliopolis-open-2006,True
1769,9,PSA 3 Star,CIMB Malaysian Open (M),"Kuala Lumpur, Malaysia",30 Jul 2006,http://www.squashinfo.com/events/2553-mens-malaysian-open-2006,True
1770,10,PSA 1 Star,Osso/Bone & Joint Oklahoma City Open (M),"Oklahoma City, USA",30 Jul 2006,http://www.squashinfo.com/events/583-mens-oklahoma-city-open-2006,True
1771,11,PSA 1 Star,Alexandria Sporting Club Open (M),"Alexandria, Egypt",23 Jul 2006,http://www.squashinfo.com/events/2642-mens-alexandria-sporting-club-open-2006,True
1772,12,PSA Satellite,Crocodile Challenge Cup (M),Hong Kong,23 Jul 2006,http://www.squashinfo.com/events/2387-mens-crocodile-challenge-cup-2006,True
1773,13,PSA 1 Star,Sanders Morris Harris Houston Open (M),"Houston, Texas, USA",23 Jul 2006,http://www.squashinfo.com/events/2563-mens-houston-open-2006,True
1774,14,PSA Super Satellite,Brasilia International (M),"Brasilia, Brazil",25 Jun 2006,http://www.squashinfo.com/events/2571-mens-brasilia-international-2006,True
1775,15,PSA 1 Star,Greek Open (M),"Athens, Greece",25 Jun 2006,http://www.squashinfo.com/events/2562-mens-greek-open-2006,True
1776,16,PSA 1 Star,Mortgage Choice South Australian Open (M),"Somerton, SA, Australia",24 Jun 2006,http://www.squashinfo.com/events/2496-mens-south-australian-open-2006,True
1777,17,PSA 1 Star,ICL Chennai Open (M),"Chennai, India",18 Jun 2006,http://www.squashinfo.com/events/2541-mens-chennai-open-2006,True
1778,18,PSA Super Satellite,Ornitargin Open (M),"Goiania, Brazil",17 Jun 2006,http://www.squashinfo.com/events/2561-mens-ornitargin-open-2006,True
1779,19,PSA Super Satellite,Tranzparanz Almere Trophy (M),"Almere, Netherlands",11 Jun 2006,http://www.squashinfo.com/events/2492-mens-almere-trophy-2006,True
1780,0,PSA Satellite,Naracoorte Open (M),"Naracoorte, SA, Australia",11 Jun 2006,http://www.squashinfo.com/events/2495-mens-naracoorte-open-2006,True
1781,1,PSA Satellite,Merredin International (M),"Merredin, WA, Australia",28 May 2006,http://www.squashinfo.com/events/2494-mens-merredin-international-2006,True
1782,2,PSA 1 Star,Liguria Open (M),"Genova, Italy",27 May 2006,http://www.squashinfo.com/events/2479-mens-liguria-open-2006,True
1783,3,PSA Satellite,Hyatt Regency Perth WA Open (M),"Perth, Australia",21 May 2006,http://www.squashinfo.com/events/2493-mens-wa-open-2006,True
1784,4,PSA 1 Star,Atlanta Open (M),"Atlanta, USA",14 May 2006,http://www.squashinfo.com/events/2362-mens-atlanta-open-2006,True
1785,5,PSA Satellite,Hilton Open (M),"Hilton, Perth, Australia",14 May 2006,http://www.squashinfo.com/events/2550-mens-hilton-open-2006,True
1786,6,PSA Super Series Finals,Brit Insurance World Series Finals (M),"London, England",12 May 2006,http://www.squashinfo.com/events/2385-mens-world-series-finals-2006,True
1787,7,PSA Super Series Silver,Liverpool 08 Open (M),"Liverpool, England",7 May 2006,http://www.squashinfo.com/events/2478-mens-liverpool-08-open-2006,True
1788,8,PSA 1 Star,Losone Swiss Classic (M),"Losone, Switzerland",6 May 2006,http://www.squashinfo.com/events/2386-mens-losone-swiss-classic-2006,True
1789,9,PSA Super Satellite,Mega Italia Open (M),"Brescia, Italy",29 Apr 2006,http://www.squashinfo.com/events/2506-mens-mega-italia-open-2006,True
1790,10,PSA 1 Star,Companion Challenge Cup (M),"Sao Paulo, Brazil",26 Apr 2006,http://www.squashinfo.com/events/2546-mens-companion-challenge-cup-2006,True
1791,11,PSA Super Satellite,Croatian Open (M),"Zagreb, Croatia",22 Apr 2006,http://www.squashinfo.com/events/2490-mens-croatian-open-2006,True
1792,12,PSA Satellite,National Bank of Canada La Sportheque Pro-Am (M),"Quebec, Canada",9 Apr 2006,http://www.squashinfo.com/events/2388-mens-la-sportheque-pro-am-2006,True
1793,13,PSA Super Series Platinum,Virtual Spectator Bermuda PSA Masters (M),"Hamilton, Bermuda",8 Apr 2006,http://www.squashinfo.com/events/794-mens-psa-masters-2006,True
1794,14,PSA 1.5 Star,Cannon Kirk Homes Irish Open (M),"Dublin, Ireland",2 Apr 2006,http://www.squashinfo.com/events/2384-mens-irish-open-2006,True
1795,15,PSA Satellite,Hi-Tec & Dunlop Prague Open (M),"Prague, Czech Republic",31 Mar 2006,http://www.squashinfo.com/events/2444-mens-prague-open-2006,True
1796,16,PSA 1 Star,Hyatt Regency Thessaloniki Open (M),"Thessaloniki, Greece",26 Mar 2006,http://www.squashinfo.com/events/2470-mens-thessaloniki-open-2006,True
1797,17,PSA Satellite,Clod Open (M),"Milan, Italy",25 Mar 2006,http://www.squashinfo.com/events/2480-mens-clod-open-2006,True
1798,18,PSA Super Satellite,Club Atwater Classic (M),"Montreal, Canada",25 Mar 2006,http://www.squashinfo.com/events/2443-mens-club-atwater-classic-2006,True
1799,19,PSA Satellite,Saskatchewan Open (M),"Regina, Canada",25 Mar 2006,http://www.squashinfo.com/events/2383-mens-saskatchewan-open-2006,True
1800,0,PSA 1 Star,KNPC Kuwait Open (M),"Kuwait City, Kuwait",12 Mar 2006,http://www.squashinfo.com/events/2441-mens-kuwait-open-2006,True
1801,1,PSA Satellite,Salzburg Open (M),"Salzburg, Austria",12 Mar 2006,http://www.squashinfo.com/events/2436-mens-salzburg-open-2006,True
1802,2,PSA 2.5 Star,COAS International (M),"Islamabad, Pakistan",11 Mar 2006,http://www.squashinfo.com/events/2380-mens-coas-international-2006,True
1803,3,PSA Super Satellite,FAJR International (M),"Kish Island, Iran",10 Mar 2006,http://www.squashinfo.com/events/2381-mens-fajr-international-2006,True
1804,4,PSA Satellite,Sigma Swiss Open (M),"Geneva, Switzerland",5 Mar 2006,http://www.squashinfo.com/events/2382-mens-swiss-open-2006,True
1805,5,PSA 1 Star,Verao Open (M),"Santos, Brazil",5 Mar 2006,http://www.squashinfo.com/events/2442-mens-verao-open-2006,True
