,tournament_index,round,players,result
2654,90,2nd round,[1] Evan Williams (NZL) bt Rhys Dowling (AUS),"11-6, 11-8, 5-11, 11-9"
2655,90,2nd round,[8] Sion Wiggin (NZL) bt Damon MacMillan (AUS),"10-12, 11-2, 11-7, 11-8"
2656,90,2nd round,[6] Darren Chan (MAS) bt Sanjay Jeeva (BEL),"14-16, 11-9, 11-8, 11-4"
2657,90,2nd round,Moustafa El Sirty (EGY) bt [3] Syed Azlan Amjad (QAT),"11-8, 11-9, 11-7"
2658,90,2nd round,[4] Bryan Lim Tze Kang (MAS) bt Chung Yat Long (HKG),"14-12, 3-11, 11-4, 11-4"
2659,90,2nd round,[5] Joseph White (AUS) bt Sam Ejtemai (AUS),"11-8, 11-8, 5-11, 8-11, 11-4"
2660,90,2nd round,Atticus Kelly (USA) bt [7] David Ilich (AUS),"12-10, 11-7, 11-5"
2661,90,2nd round,[2] Angus Gillams (SCO) bt Ali Jafari (ENG),"11-7, 11-4, 11-1"
2662,90,1st round,[1] Evan Williams (NZL),bye
2663,90,1st round,Rhys Dowling (AUS) bt Javed Ali (PAK),"11-6, 4-11, 11-7, 11-9"
2664,90,1st round,Damon MacMillan (AUS) bt Benjamin Ratcliffe (AUS),"13-11, 6-11, 11-4, 11-13, 11-9"
2665,90,1st round,[8] Sion Wiggin (NZL),bye
2666,90,1st round,[6] Darren Chan (MAS),bye
2667,90,1st round,Sanjay Jeeva (BEL) bt Jason Turner (AUS),"11-4, 11-6, 11-8"
2668,90,1st round,Moustafa El Sirty (EGY),bye
2669,90,1st round,[3] Syed Azlan Amjad (QAT),bye
2670,90,1st round,[4] Bryan Lim Tze Kang (MAS),bye
2671,90,1st round,Chung Yat Long (HKG) bt Aaron Maidment (AUS),"11-4, 11-2, 11-3"
2672,90,1st round,Sam Ejtemai (AUS) bt Mansoor Zaman (PAK),"11-4, 11-4, 11-4"
2673,90,1st round,[5] Joseph White (AUS),bye
2674,90,1st round,[7] David Ilich (AUS),bye
2675,90,1st round,Atticus Kelly (USA) bt Tate Zak Norris (RSA),"11-8, 11-5, 11-6"
2676,90,1st round,Ali Jafari (ENG) bt Shahzad Khan (AUS),"11-4, 6-11, 11-3, 11-8"
2677,90,1st round,[2] Angus Gillams (SCO),bye
